Date,Version,Type,Title,Description
2025-11-13,1.2,Game Launch,Anno 117: Pax Romana - Launch Day,Game released on PC / PS5 / Xbox Series X|S. Version 1.2 was already included at launch with various bug fixes and rebalancing based on playtest feedback
2025-11-18,1.2 Hotfix,Hotfix,Multiplayer Hotfix,Hotfix released on PC to fix several causes for desyncs in multiplayer. Crossplay temporarily disabled until all platforms updated. Console patch followed within days
2025-12-09,1.3 (notes),Patch Notes,Patch 1.3 Notes Published,Official patch notes for version 1.3 published on the website ahead of release
2025-12-16,1.3,Patch,Patch 1.3 Release,Fixed several crashes and performance issues. Fixed various causes for desyncs. Re-enabled crossplay for Xbox. Added various text and localization fixes. Fixed missing deities from Religion menu. Fixed blueprint upgrade issue for slot buildings. Fixed audio corruption in long play sessions
2026-01-28,1.3.2 (notes),Patch Notes,Patch 1.3.2 Notes Published,Official patch notes for version 1.3.2 published ahead of release
2026-01-29,1.3.2,Patch,Patch 1.3.2 Release,Fixes for crashes and the global deity buff. Balancing changes. Additional desync fixes for multiplayer
2026-02-18,1.4 (notes),Patch Notes,Patch 1.4 Notes Published,Full patch notes for version 1.4 published
2026-02-19,1.4,Patch + CDLC,Patch 1.4 + Marvellous Mosaic Pack (Cosmetic DLC),Patch 1.4 adds support for the Marvellous Mosaic Pack Cosmetic DLC. Fixed escort-type quests. Fixed silo bonus bug. Fixed street range indicators. Fixed high mouse input lag on PS5. More desync fixes. First Cosmetic DLC release with additional groundplates and mosaics for Latium and Albion
2026-03-04,1.4.1,Patch,Patch 1.4.1 Release,Addresses an issue with raytracing on consoles and a desync related to the Marvellous Mosaic Pack CDLC
2026-04-22,,Announcement,Release Delay Announced,DLC Prophecies of Ash and Patch 1.5 delayed by one week to April 30th due to a potentially savegame-breaking issue
2026-04-27,1.5 (notes),Patch Notes,Patch 1.5 Notes Published,Full patch notes for version 1.5 published ahead of release
2026-04-30,1.5,Major Patch + DLC,Patch 1.5 + Prophecies of Ash DLC,First paid DLC for Anno 117: Pax Romana. Adds a new volcano island (Cinis) with volcanic eruption mechanics and new resource obsidian. Largest island in the game. Patch 1.5 includes large number of quality-of-life improvements and bug fixes
2026-05-01,1.5 Hotfix,Hotfix,Update 1.5 HotFix (PC),PC hotfix released fixing a crash for campaign savegames upon loading and a crash related to defeating a rival
2026-05-05,,Announcement,Upcoming Patches - Message from Anno Team,Team acknowledged issues with Update 1.5 launch. Announced upcoming patch 1.5.1.1 with additional fixes
2026-05-08,1.5.1,Patch,Patch 1.5.1 Release,Bug fixes including for ships on trade routes amphitheatre events and trade route filters
2026-05-26,1.5.2 (notes),Patch Notes,Patch 1.5.2 Notes Published,Full patch notes for version 1.5.2 published
2026-05-28,1.5.2,Patch,Patch 1.5.2 Release,Fixes for ships renaming themselves. Adjustments to rivals behaviour related to wars. Fixes for flickering ground plates. Fixes for dead harbour tiles. Additional announcement of upcoming Hippodrome DLC